id,usuario_id,numero_cuenta,tipo_cuenta,saldo
1,48426,ES5466195092482025451168,empresa,"64902,57"
2,42851,ES9562496935527023658944,nómina,"73824,23"
3,53683,ES5986064142134058506669,ahorro,"2067,07"
4,42950,ES7928154194255986681000,empresa,"64126,29"
5,53681,ES7420859879834314564248,nómina,"56563,96"
6,43090,ES1598552141913076270174,empresa,"89707,48"
7,44391,ES7118032841116870024547,empresa,"40765,71"
8,46436,ES1193991172776836306929,ahorro,"22759,42"
9,53647,ES9515246307323873671562,empresa,"848,31"
10,52631,ES7699947910949568974105,nómina,"4819,63"
11,44860,ES2622869281162020867237,nómina,"39754,88"
12,50824,ES8622649348276335717257,nómina,"62978,51"
13,53506,ES1760913073572245271984,empresa,"73276,85"
14,52509,ES1477650685155321503177,nómina,"46984,3"
15,48110,ES5863439508427990510881,ahorro,"32131,53"
16,45263,ES3652645836120120883677,ahorro,"27146,37"
17,53455,ES2780566324494289204249,ahorro,"18702,31"
18,54252,ES5957554028390037500373,nómina,"99879,37"
19,43403,ES8550684083319137655500,empresa,"33341,54"
20,48593,ES1100579630160499766517,empresa,"60730,72"
21,50681,ES1206915161018316621656,empresa,"48846,31"
22,42893,ES8590087253761444308252,nómina,"4032,15"
23,50088,ES7553111008718467152208,empresa,"96360,79"
24,46670,ES9280775568199297653238,ahorro,"63400,11"
25,52932,ES9603070002742071591928,empresa,"60386,32"
26,47207,ES5861502753686898210196,ahorro,"66560,37"
27,52756,ES5789921259890217028289,ahorro,10938
28,48213,ES8896276066733034391967,ahorro,"32928,01"
29,50389,ES4481211605725419893032,empresa,"11166,73"
30,53610,ES1646825285970608477278,ahorro,"69787,35"
31,46642,ES1160677949089262658764,empresa,"24428,09"
32,53571,ES2629431182113182904073,empresa,"15090,94"
33,43636,ES4183997478297033897856,ahorro,"60829,29"
34,51582,ES4338410756273011498153,empresa,"64281,26"
35,50733,ES7996790308014487024362,nómina,"47205,88"
36,53726,ES5502965300053898138111,empresa,"17986,04"
37,53117,ES7908027005178842562784,ahorro,"81504,87"
38,46891,ES6827552431099965782118,ahorro,"13000,74"
39,48478,ES1682314870199305906335,ahorro,"61791,95"
40,47067,ES3185846018502875875534,nómina,"35735,43"
41,49702,ES3216228623485374545551,empresa,"90579,51"
42,51790,ES4066019126169083530012,empresa,"50892,94"
43,54490,ES3129057996353562398219,empresa,"3584,75"
44,45438,ES2760015294568579386669,empresa,"77240,51"
45,45910,ES7617282499304072221423,empresa,"65730,18"
46,44045,ES9549404994183316065494,ahorro,"39371,56"
47,52757,ES6858934677169064111160,ahorro,"72203,13"
48,53754,ES5875968498821514868867,ahorro,"34615,14"
49,49506,ES9402431724949195441241,nómina,"81572,13"
