id,nombre,apellido,estado_civil,dni,nacionalidad,fecha_nacimiento,direccion,codigo_postal,provincia,telefono,email,es_moroso,profesion,salario,numero_cuenta,tipo_cuenta,saldo,antiguedad_cliente,genero
42654,Consuelo,Sales,Casada,94923570V,Belga,1987-01-27,"Urbanización Delia Lobo 4 Puerta 2 , Palencia, 18810",25144,Jaén,635107240,nandotoro@example.net,False,"Empleado de servicios estadísticos, financieros y de seguros","5135,43",ES7032903890966775197447,corriente,"43181,42",2021-01-23,Femenino
42655,Crescencia,Quesada,Divorciada,36901068Y,Indonesia,1954-11-02,"Rambla de Epifanio Azorin 4, Lleida, 17091",50678,Cáceres,633439627,marta79@example.org,False,Planchador manuales,"7202,31",ES2005191248797654536134,corriente,"87041,87",2021-02-01,Femenino
42656,Malena,Gordillo,Divorciada,22368636D,Indonesia,1984-02-18,"Vial de Miguel Ángel Zamorano 19 Apt. 99 , Toledo, 42044",31539,Jaén,693962009,sebastian16@example.com,False,Pescador de alta mar,"6435,71",ES0484741416708329980787,corriente,"44805,74",2024-12-18,Femenino
42657,Ofelia,Quevedo,Viuda,63161733F,Afgana,2005-05-27,"Avenida de Almudena Ribas 38 Puerta 3 , Madrid, 18276",07591,Alicante,649011413,borjaromero@example.net,False,Pintor y empapelador,"5615,52",ES6542893922000595866797,corriente,"23457,44",2020-08-25,Femenino
42658,Eutimio,Cifuentes,Viudo,27733140Q,Singapurense,1961-07-14,"Avenida de Amelia Diego 4 Piso 8 , Tarragona, 10991",28347,Huesca,772759266,mros@example.net,False,Director de explotaciones de minería,"7486,86",ES4851800820155687571492,corriente,"87971,6",2021-10-16,Masculino
42659,Leocadio,Enríquez,Soltero,73985779T,Serbia,2003-11-02,"Calle Reyes Catalá 14 Puerta 4 , Valencia, 37754",37588,Ourense,724743148,roblesmariano@example.org,False,Operador de instalaciones de tratamiento de agua,"7703,57",ES7970702949962199049677,corriente,"79199,95",2023-12-17,Masculino
42660,Socorro,Cáceres,Casada,38405729F,Libanesa,1971-04-02,"Pasaje de Isabel Jaén 7 Puerta 9 , Alicante, 05821",04346,Albacete,629099483,suredaligia@example.org,False,"Empleado de servicios estadísticos, financieros y de seguros","3159,17",ES5770019644303339250011,corriente,"40499,52",2018-04-03,Femenino
42661,Duilio,Palma,Soltero,81396925V,Etíope,1976-07-08,"Plaza de Calisto Giménez 8 Apt. 31 , La Coruña, 28852",23544,La Coruña,734841835,jalmagro@example.com,False,"Operador de máquinas de blanqueamiento, teñido y limpieza de tejidos","2329,37",ES9334945147527091918121,corriente,"50287,6",2023-05-20,Masculino
42662,Raquel,Prats,Casada,82639011B,Rumana,2006-08-09,"Acceso de Casandra Mariño 63, Albacete, 49042",38491,Barcelona,654713177,germansarabia@example.com,False,Supervisor de la construcción,"1830,65",ES4485579233686875080556,corriente,"65320,16",2023-10-13,Femenino
42663,Mónica,Carrión,Soltera,99562302V,Jordana,1963-02-26,"Ronda de Leandro Maza 21 Apt. 59 , Cáceres, 19016",29927,La Coruña,709547427,cipriano92@example.com,False,Profesor de música,"6193,25",ES1904984581147162289305,corriente,"12575,71",2022-09-12,Femenino
42664,Tito,Cortina,Viudo,26572146Q,Filipina,2000-06-30,"Alameda de René Asensio 82, Almería, 05465",23646,Cantabria,708034035,xsobrino@example.org,False,Instructor en tecnologías de la información,"1562,85",ES1620314062224899937999,corriente,"21657,3",2019-05-24,Masculino
42665,Sancho,Bas,Soltero,12698755H,Alemana,1960-01-14,"Acceso Timoteo Nieto 89 Apt. 71 , Álava, 39784",37881,Cádiz,617881552,lechevarria@example.com,False,Modelador de vidrio,"7961,38",ES7155883417253871859632,corriente,"99967,52",2020-02-11,Masculino
42666,Vanesa,Bou,Soltera,40894991W,Botsuanesa,1991-01-21,"Urbanización Juan José Rocamora 19 Apt. 05 , Valladolid, 43485",38830,Cantabria,693005472,jeremias09@example.com,False,Operador de máquinas para fabricar productos de papel,"5314,44",ES3046517098958124250427,corriente,"20959,38",2023-12-06,Femenino
42667,Ricarda,Castrillo,Soltera,22767104W,Irlandesa,1948-10-21,"Urbanización Alex Prado 436, Santa Cruz de Tenerife, 35872",50192,Navarra,619807107,ponciomesa@example.net,False,Sociólogo,"1995,55",ES3644197221682640545328,corriente,"69077,66",2023-11-15,Femenino
42668,Milagros,Llobet,Soltera,27492402L,Burkinesa,1968-06-20,"Plaza de Teo Alarcón 49, La Coruña, 21562",49831,Ciudad,645903360,ignaciamuniz@example.net,False,Archivista,"4526,18",ES9578454279691567810407,corriente,"99668,04",2018-10-22,Femenino
42669,Anastasio,Román,Casado,77944677T,Bosnia,1963-03-30,"Cañada de Pelayo Medina 959, Guadalajara, 30871",24826,Sevilla,619402277,manuelabriones@example.com,False,Operador de telar y otras máquinas tejedoras,"7207,16",ES8938998992362323151278,corriente,"35614,74",2020-07-03,Masculino
42670,Jacinto,Rosselló,Casado,40141952Y,Moldava,1959-05-02,"Rambla de Chita Frutos 11 Piso 2 , Lleida, 10004",32459,Barcelona,746815468,vazquezleonel@example.com,False,Técnico en ingeniería civil,"5233,82",ES1861886208763488457301,corriente,"56050,6",2025-04-06,Masculino
42671,Mario,Llano,Viudo,62396104W,Israelí,1970-05-24,"Rambla Lucio Ropero 3, Segovia, 30266",02328,Almería,748218887,uquesada@example.net,False,Empacador manual,"6626,74",ES0932488207114424160968,corriente,"15337,53",2019-06-24,Masculino
42672,Patricio,Oliver,Casado,57722391G,Andorrana,1971-07-05,"Acceso de María Teresa Vélez 1 Piso 4 , Huelva, 19618",31036,Segovia,738277310,telmo54@example.com,False,Zapatero,"3242,51",ES0595478807898916011367,corriente,"53358,58",2021-03-14,Masculino
42673,Rebeca,Bellido,Soltera,42518235K,Costarricense,1990-10-24,"Acceso de Haroldo Ferrer 31, Jaén, 08816",31414,Cuenca,703230799,corbachoreinaldo@example.org,False,Focumentalista,"2249,82",ES4025996678414651597111,corriente,"16150,45",2024-05-05,Femenino
42674,Lupe,Cepeda,Casado,55556174L,Keniata,1982-04-17,"Cañada Berta Alcántara 19 Piso 8 , Cáceres, 16697",20387,León,716789395,federicomonreal@example.org,False,Veterinario,"3536,93",ES8230581762956835941234,corriente,"99685,39",2019-08-23,Masculino
42675,Áurea,Escolano,Casada,84217989Q,Italiana,2000-08-06,"Glorieta de Eugenia Parra 9 Apt. 87 , Ourense, 33946",19758,Alicante,661969154,marquezmamen@example.net,False,Zoólogo,"2872,06",ES9031932625048135981434,corriente,"44311,99",2021-01-06,Femenino
42676,Ángela,Bravo,Soltera,23787882V,Serbia,1993-10-22,"Paseo Kike Lobato 68 Apt. 93 , Valladolid, 19405",33235,Soria,670574450,dolorespalau@example.com,False,Operador de instalaciones de producción de energía,"3075,94",ES8917454400480266399932,corriente,"75743,25",2020-02-25,Femenino
42677,Carla,Serrano,Casada,98397726T,Turca,1960-11-13,"Alameda de Blanca Murcia 420, Lleida, 39934",24238,Cantabria,642440986,klarranaga@example.org,False,Técnico en ingeniería de minas y metalurgia,"6164,88",ES7260633750346205156873,corriente,"57765,04",2019-06-29,Femenino
42678,Leocadia,Ariño,Soltera,35214185N,Mexicana,1962-09-13,"Paseo de Anna Guillén 23, Navarra, 49388",27134,Cádiz,724724914,sevillajoel@example.net,False,Ingeniero mecánico,"2196,61",ES5474247511081330902179,corriente,"13684,4",2022-01-25,Femenino
42679,María Luisa,Fajardo,Viuda,96156221Y,Islandesa,1983-02-23,"Calle de Aristides Torralba 28, Lugo, 37829",05595,Segovia,706881910,bprieto@example.com,False,Operador de máquinas para elaborar alimentos y productos afines,"4675,04",ES5479591912381091346256,corriente,"19421,99",2025-05-07,Femenino
42680,Raimundo,Fiol,Soltero,64239979J,Lituana,1960-01-06,"Acceso de Ramiro Manzano 15, Albacete, 07878",18553,Soria,761068167,hescribano@example.com,False,Ingeniero en telecomunicaciones,"3578,02",ES0140874269312814311218,corriente,"68448,61",2021-04-17,Masculino
42681,Antonio,Iglesia,Casado,48674258W,Filipina,1995-12-24,"C. Ciriaco Viñas 25, Granada, 47166",36200,La Rioja,795752172,lupitaaramburu@example.com,False,Urbanistas e ingenieros de tránsito,"1527,35",ES2257622579433434011595,corriente,"88178,76",2025-03-30,Masculino
42682,Ainoa,Cabrera,Casada,22999416Z,Camerunesa,2000-06-22,"Plaza de Palmira Lamas 2 Piso 6 , Huesca, 35540",36542,Vizcaya,788548426,belmonteamanda@example.org,False,Traductor e intérprete,"7311,76",ES0571637041883295869630,corriente,"44059,95",2021-06-07,Femenino
42683,Esperanza,Nicolau,Casada,49778870Q,Italiana,1970-01-10,"Camino Florencia Barroso 68, La Coruña, 21481",34118,Cantabria,608033905,venceslas85@example.net,False,Psicólogo,"5176,94",ES8604364240768616186917,corriente,"81873,28",2023-04-03,Femenino
42684,Valero,Benavente,Soltero,92239417X,Húngara,1960-10-03,"Cuesta Ignacia Arnaiz 318, Toledo, 51523",11003,Burgos,663283482,cleto31@example.net,False,Fontanero,"2345,76",ES7587609480457749806049,corriente,"54543,53",2018-06-28,Masculino
42685,Adelardo,Polo,Viudo,58524973R,Saudita,1963-03-21,"Rambla de Juan Luis Roca 45 Piso 7 , Madrid, 15652",48309,Huelva,787806505,rubentapia@example.net,False,Director de investigación y desarrollo,"5506,24",ES9708913321105098458815,corriente,"36510,8",2020-04-10,Masculino
42686,Filomena,Porras,Soltera,66022588F,Israelí,1996-10-04,"Pasaje de Melania Garcés 63, Huesca, 14986",06098,León,727867699,lope60@example.net,False,Artesano,"6237,63",ES2217644299852846180365,corriente,"84468,19",2024-10-10,Femenino
